movie_title,release_date,wikipedia_url,genre,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget,revenue
This Means War,2012-02-17,https://en.wikipedia.org/wiki/This_Means_War_(film),Action,McG,N/A,Tom Hardy,Chris Pine,Reese Witherspoon,Chelsea Handler,Til Schweiger,65000000.0,156500000.0
Top Five,2014-09-06,https://en.wikipedia.org/wiki/Top_Five,Comedy,Chris Rock,N/A,Chris Rock,Rosario Dawson,Genevieve Angelson,Rachel Feinstein,Dan Naturman,12000000.0,26100000.0
Top Gun 3D,2013-02-08,https://en.wikipedia.org/wiki/Top_Gun,Action,Tony Scott,N/A,Tom Cruise,Kelly McGillis,Val Kilmer,James Tolkan,Tom Skerritt,15000000.0,356800000.0
Total Recall,2012-08-03,https://en.wikipedia.org/wiki/Total_Recall_(2012_film),Action,Len Wiseman,N/A,Colin Farrell,Jessica Biel,Bryan Cranston,Kate Beckinsale,Bill Nighy,125000000.0,198500000.0
Trance,2013-03-27,https://en.wikipedia.org/wiki/Trance_(2013_film),Crime,Danny Boyle,N/A,James McAvoy,Vincent Cassel,Rosario Dawson,Tuppence Middleton,Lee Nicholas Harris,20000000.0,24300000.0
Transcendence,2014-04-10,https://en.wikipedia.org/wiki/Transcendence_(2014_film),Sci-Fi,Wally Pfister,N/A,Johnny Depp,Paul Bettany,Rebecca Hall,Kate Mara,Morgan Freeman,100000000.0,103000000.0
Triple 9,2016-02-16,https://en.wikipedia.org/wiki/Triple_9,Crime,John Hillcoat,N/A,Kate Winslet,Woody Harrelson,Gal Gadot,Anthony Mackie,Teresa Palmer,20000000.0,23400000.0
Trouble with the Curve,2012-09-21,https://en.wikipedia.org/wiki/Trouble_with_the_Curve,Drama,Robert Lorenz,N/A,Clint Eastwood,Amy Adams,Matthew Lillard,Justin Timberlake,John Goodman,60000000.0,49000000.0
Trumbo,2015-09-12,https://en.wikipedia.org/wiki/Trumbo_(2015_film),Drama,Jay Roach,N/A,Bryan Cranston,Diane Lane,Helen Mirren,John Goodman,Elle Fanning,15000000.0,8200000.0
Truth,2015-09-12,https://en.wikipedia.org/wiki/Truth_(2015_film),Drama,James Vanderbilt,N/A,Robert Redford,Cate Blanchett,Dennis Quaid,Topher Grace,Elisabeth Moss,9600000.0,5400000.0
Turbo,2013-07-17,https://en.wikipedia.org/wiki/Turbo_(film),Comedy,David Soren,N/A,Ryan Reynolds,Paul Giamatti,Michael Peña,Luis Guzmán,Bill Hader,127000000.0,282600000.0
Tusk,2014-09-06,https://en.wikipedia.org/wiki/Tusk_(2014_film),Horror,Kevin Smith,N/A,Michael Parks,Justin Long,Haley Joel Osment,Génesis Rodríguez,Johnny Depp,3000000.0,1900000.0
Unbroken,2014-11-17,https://en.wikipedia.org/wiki/Unbroken_(film),Drama,Angelina Jolie,N/A,Jack O'Connell,Miyavi,Domhnall Gleeson,Garrett Hedlund,Jai Courtney,65000000.0,163400000.0
Unfinished Business,2015-03-06,https://en.wikipedia.org/wiki/Unfinished_Business_(2015_film),Comedy,Ken Scott,N/A,Vince Vaughn,Tom Wilkinson,Dave Franco,Sienna Miller,Nick Frost,35000000.0,14400000.0
Unfriended,2014-07-20,https://en.wikipedia.org/wiki/Unfriended,Horror,Levan Gabriadze,N/A,Shelley Hennig,Renee Olstead,Jacob Wysocki,Will Peltz,N/A,1000000.0,64100000.0
Vacation,2015-07-29,https://en.wikipedia.org/wiki/Vacation_(2015_film),Adventure,John Francis Daley,Jonathan Goldstein,Ed Helms,Christina Applegate,Leslie Mann,Chris Hemsworth,Charlie Day,31000000.0,104900000.0
Vampire Academy,2014-02-07,https://en.wikipedia.org/wiki/Vampire_Academy_(film),Action,Mark Waters,N/A,Zoey Deutch,Lucy Fry,Danila Kozlovsky,N/A,N/A,30000000.0,15400000.0
Veronica Mars,2014-03-14,https://en.wikipedia.org/wiki/Veronica_Mars_(film),Mystery,Rob Thomas,N/A,Kristen Bell,Jason Dohring,Krysten Ritter,Ryan Hansen,Francis Capra,6000000.0,3500000.0
Victor Frankenstein,2015-11-25,https://en.wikipedia.org/wiki/Victor_Frankenstein_(film),Horror,Paul McGuigan,N/A,Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,Andrew Scott,N/A,40000000.0,34200000.0
Wanderlust,2012-02-24,https://en.wikipedia.org/wiki/Wanderlust_(2012_film),Comedy,David Wain,N/A,Paul Rudd,Jennifer Aniston,Malin Akerman,Justin Theroux,Ken Marino,35000000.0,24200000.0
War Dogs,2016-08-19,https://en.wikipedia.org/wiki/War_Dogs_(2016_film),Crime,Todd Phillips,N/A,Jonah Hill,Miles Teller,Ana de Armas,J. B. Blanc,N/A,40000000.0,42700000.0
War Room,2015-08-28,https://en.wikipedia.org/wiki/War_Room_(film),Drama,Alex Kendrick,N/A,Alex Kendrick,Priscilla Shirer,T.C. Stallings,Beth Moore,Karen Abercrombie,3000000.0,73700000.0
